PROGR;CODICE;DESCRIZIONE;;;TARIFFA
298;75.8;TAMPONAMENTO OSTETRICO DELL' UTERO O DELLA VAGINA;T50;30,99;37,20
299;76.01;SEQUESTRECTOMIA DI OSSO FACCIALE;T50;21,69;26,04
300;76.2;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE DELLE OSSA FACCIALI;T50;98,13;117,72
301;76.77;RIDUZIONE APERTA DI FRATTURA ALVEOLARE;T50;19,52;23,40
302;76.93;RIDUZIONE CHIUSA DI LUSSAZIONE TEMPOROMANDIBOLARE;T90;27,89;27,89
303;76.96;INIEZIONE DI SOSTANZA TERAPEUTICA NELL'ARTICOLAZIONE TEMPOROMANDIBOLARE;T90;27,89;27,89
304;78.7;OSTEOCLASIA;T50;19,52;23,40
305;79.00;RIDUZIONE CHIUSA DI FRATTURA SENZA FISSAZIONE INTERNA ;T50;51,65;62,04
306;79.01;RIDUZIONE CHIUSA DI FRATTURA DELL'OMERO SENZA FISSAZIONE INTERNA;T50;51,65;62,04
307;79.02;RIDUZIONE CHIUSA DI FRATTURA DI RADIO E ULNA SENZA FISSAZIONE INTERNA;T50;51,65;62,04
308;79.03;RIDUZIONE CHIUSA DI FRATTURA DI CARPO E METACARPO SENZA FISSAZIONE INTERNA;T50;51,65;62,04
309;79.04;RIDUZIONE CHIUSA DI FRATTURA DELLE FALANGI DELLA MANO SENZA FISSAZIONE INTERNA;T50;41,32;49,56
310;79.07;RIDUZIONE CHIUSA DI FRATTURA DI TARSO E METATARSO SENZA FISSAZIONE INTERNA;T50;51,65;62,04
311;79.08;RIDUZIONE CHIUSA DI FRATTURA DELLE FALANGI DEL PIEDE SENZA FISSAZIONE INTERNA;T50;51,65;62,04
312;79.70;RIDUZIONE CHIUSA DI LUSSAZIONE IN SEDE NON SPECIFICATA;T50;36,15;43,44
313;79.71;RIDUZIONE CHIUSA DI LUSSAZIONE DELLA SPALLA;T50;36,15;43,44
314;79.72;RIDUZIONE CHIUSA DI LUSSAZIONE DEL GOMITO;T50;36,15;43,44
315;79.73;RIDUZIONE CHIUSA DI LUSSAZIONE DEL POLSO;T50;36,15;43,44
316;79.74;RIDUZIONE CHIUSA DI LUSSAZIONE DELLA MANO E DELLE DITA DELLA MANO ;T50;36,15;43,44
317;80.30;BIOPSIA DELLE STRUTTURE ARTICOLARI, SEDE NON SPECIFICATA;D30;41,83;58,52
318;81.91;ARTROCENTESI;T50;27,89;33,48
319;81.92;INIEZIONE DI SOSTANZE TERAPEUTICHE NELL'ARTICOLAZIONE O NEL LEGAMENTO;T90;27,89;27,89
320;83.02;MIOTOMIA;T50;19,52;23,40
321;83.03;BORSOTOMIA;T50;27,89;33,48
322;83.09;ALTRA INCISIONE DEI TESSUTI MOLLI;T50;33,47;40,20
323;83.21;BIOPSIA DEI TESSUTI MOLLI;D30;33,47;46,90
324;83.21.1;BIOPSIA ECO-GUIDATA DEI TESSUTI MOLLI;D30;47,41;66,36
325;83.31;ASPORTAZIONE DI LESIONE DELLE FASCE TENDINEE;T50;33,47;40,20
326;83.98;INIEZIONE DI SOSTANZE TERAPEUTICHE AD AZIONE LOCALE ALL' INTERNO;T90;6,97;6,97
327;85.0;MASTOTOMIA;T50;29,75;35,76
328;85.11;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DELLA MAMMELLA;D30;24,79;34,72
329;85.11.1;BIOPSIA ECO-GUIDATA  DELLA MAMMELLA;D30;37,18;52,08
330;85.20;ASPORTAZIONE O DEMOLIZIONE DI TESSUTO DELLA MAMMELLA, NAS;T50;29,75;35,76
331;85.21;ASPORTAZIONE LOCALE DI LESIONE DELLA MAMMELLA;T50;29,75;35,76
332;85.21.1;ASPIRAZIONE PERCUTANEA DI CISTI DELLA MAMMELLA;T50;37,18;44,64
333;86.01;ASPIRAZIONE DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;T50;7,75;9,36
334;86.02.1;SCLEROSI DI FISTOLA PILONIDALE;T50;15,49;18,60
335;86.02.2;INFILTRAZIONE DI CHELOIDE;T90;9,04;9,04
336;86.03;INCISIONE DI CISTI O SENO PILONIDALE;T50;26,34;31,56
337;86.04;INCISIONE CON DRENAGGIO DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;T50;37,18;44,64
338;86.05.1;INCISIONE CON RIMOZIONE DI CORPO ESTRANEO DA CUTE E TESSUTO SOTTOCUTANEO ;T50;37,18;44,64
339;86.11;BIOPSIA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;D30;13,94;19,46
340;86.19.1;ELASTOMETRIA;D90;4,29;4,29
341;86.19.2;SEBOMETRIA;D90;4,29;4,29
342;86.19.3;CORNEOMETRIA;D90;5,73;5,73
343;86.19.4;MISURA DELLA PERDITA TRANSEPIDERMICA DI ACQUA (TEWL);D90;7,18;7,18
344;86.22;RIMOZIONE ASPORTATIVA DI FERITA, INFEZIONE O USTIONE;T50;17,04;20,40
345;86.23;RIMOZIONE DI UNGHIA, MATRICE UNGUEALE O PLICA UNGUEALE;T50;25,56;30,72
346;86.24;CHEMIOCHIRURGIA DELLA CUTE;T50;7,18;8,64
347;86.25;DERMOABRASIONE;T50;17,04;20,40
348;86.27;CURETTAGE DI UNGHIA, MATRICE UNGUEALE O PLICA UNGUEALE;T50;17,04;20,40
349;86.28;RIMOZIONE NON ASPORTATIVA DI FERITA, INFEZIONE O USTIONE;T50;8,42;10,08
350;86.30.1;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO CUTANEO E SOTTOCUTANEO,;T50;12,81;15,36
351;86.30.2;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO CUTANEO E SOTTOCUTANEO, ;T50;12,81;15,36
352;86.30.3;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO CUTANEO E SOTTOCUTANEO,;T50;12,81;15,36
353;86.4;ASPORTAZIONE RADICALE DI LESIONE DELLA CUTE;T50;28,41;34,08
354;86.59.1;SUTURA ESTETICA DI FERITA DEL VOLTO;T50;28,41;34,08
355;86.59.2;SUTURA ESTETICA DI FERITA IN ALTRI DISTRETTI DEL CORPO;T50;8,42;10,08
356;86.59.3;ALTRA SUTURA ESTETICA DI FERITA IN ALTRI DISTRETTI DEL CORPO;T50;11,36;13,68
357;86.60;INNESTO CUTANEO, NAS;T50;206,58;247,92
358;86.61;INNESTO DI CUTE A PIENO SPESSORE NELLA MANO;T50;258,23;309,84
359;86.62;ALTRO INNESTO DI CUTE NELLA MANO;T50;206,58;247,92
360;86.71;ALLESTIMENTO E PREPARAZIONE DI LEMBI PEDUNCOLATI;T50;309,87;371,88
361;86.72;AVANZAMENTO DI LEMBO PEDUNCOLATO;T50;309,87;371,88
362;86.73;TRASFERIMENTO DI LEMBO PEDUNCOLATO SULLA MANO;T50;309,87;371,88
363;86.74;TRASFERIMENTO DI LEMBO PEDUNCOLATO IN ALTRE SEDI;T50;413,17;495,84
364;86.75;REVISIONE DI LEMBO PEDUNCOLATO;T50;258,23;309,84
365;86.81;RIPARAZIONE DI DIFETTI DEL VISO;T50;22,72;27,24
366;86.84;CORREZIONE DI CICATRICE O BRIGLIA RETRATTILE DELLA CUTE;T50;258,23;309,84
367;87.03;TOMOGRAFIA COMPUTERIZZATA (TC) DEL CAPO;D12;83,15;74,88
368;87.03.1;TOMOGRAFIA COMPUTERIZZATA (TC) DEL CAPO, SENZA E CON CONTRASTO;D12;133,76;120,42
369;87.03.2;TOMOGRAFIA COMPUTERIZZATA (TC) DEL MASSICCIO FACCIALE;D12;89,35;80,46
370;87.03.3;TOMOGRAFIA COMPUTERIZZATA (TC) DEL MASSICCIO FACCIALE, SENZA E CON CONTRASTO;D12;142,03;127,80
371;87.03.4;TOMOGRAFIA COMPUTERIZZATA (TC) DELLE ARCATE DENTARIE [DENTALSCAN];D12;103,29;92,97
372;87.03.5;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ORECCHIO;D12;83,15;74,88
373;87.03.6;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ORECCHIO, SENZA E CON CONTRASTO;D12;133,76;120,42
374;87.03.7;TOMOGRAFIA COMPUTERIZZATA (TC) DEL COLLO;D12;83,15;74,88
375;87.03.8;TOMOGRAFIA COMPUTERIZZATA (TC) DEL COLLO, SENZA E CON CONTRASTO;D12;133,76;120,42
376;87.03.9;TOMOGRAFIA COMPUTERIZZATA (TC) DELLE GHIANDOLE SALIVARI;D12;83,15;74,88
377;87.04.1;TOMOGRAFIA [STRATIGRAFIA] DELLA LARINGE;D12;30,99;27,90
378;87.05;DACRIOCISTOGRAFIA ;D11;85,22;85,22
379;87.06;FARINGOGRAFIA ;D11;30,47;30,47
380;87.06.1;RADIOGRAFIA CON CONTRASTO DELLE GHIANDOLE SALIVARI;D11;54,74;54,74
381;87.07;LARINGOGRAFIA CON CONTRASTO;D11;46,48;46,48
382;87.09.1;RADIOGRAFIA DEI TESSUTI MOLLI DELLA FACCIA, DEL CAPO E DEL COLLO;D11;15,24;15,24
383;87.09.2;RADIOGRAFIA DEL TRATTO FARINGO-CRICO-ESOFAGEO-CARDIALE;D11;66,62;66,62
384;87.11.1;RADIOGRAFIA DI ARCATA  DENTARIA;D11;10,33;10,33
385;87.11.2;RADIOGRAFIA CON OCCLUSALE DI ARCATA  DENTARIA;D11;9,30;9,30
386;87.11.3;ORTOPANORAMICA DELLE ARCATE DENTARIE;D11;20,66;20,66
387;87.11.4;TOMOGRAFIA [STRATIGRAFIA] DELLE ARCATE DENTARIE;D11;24,27;24,27
388;87.12.1;TELERADIOGRAFIA DEL CRANIO;D11;10,33;10,33
389;87.12.2;ALTRA RADIOGRAFIA DENTARIA;D11;6,20;6,20
390;87.13.1;ARTROGRAFIA TEMPOROMANDIBOLARE CON CONTRASTO;D11;67,14;67,14
391;87.13.2;ARTROGRAFIA TEMPOROMANDIBOLARE CON CONTRASTO;D11;84,70;84,70
392;87.16.1;ALTRA RADIOGRAFIA DI OSSA DELLA FACCIA;D11;14,98;14,98
393;87.16.2;TOMOGRAFIA [STRATIGRAFIA] ARTICOLAZIONE TEMPOROMANDIBOLARE;D11;53,20;53,20
394;87.16.3;TOMOGRAFIA [STRATIGRAFIA] ARTICOLAZIONE TEMPOROMANDIBOLARE;D11;26,86;26,86
395;87.16.4;TOMOGRAFIA [STRATIGRAFIA] ARTICOLAZIONE TEMPOROMANDIBOLARE;D11;44,42;44,42
396;87.17.1;RADIOGRAFIA DEL CRANIO E  DEI SENI PARANASALI;D11;22,21;22,21
397;87.17.2;RADIOGRAFIA DELLA SELLA TURCICA;D11;15,24;15,24
398;87.17.3;CONTROLLO RADIOLOGICO DI DERIVAZIONI LIQUORALI;D11;17,30;17,30
399;87.22;RADIOGRAFIA DELLA COLONNA CERVICALE;D11;18,08;18,08
400;87.23;RADIOGRAFIA DELLA COLONNA TORACICA (DORSALE);D11;17,30;17,30
401;87.24;RADIOGRAFIA DELLA COLONNA LOMBOSACRALE;D11;17,30;17,30
402;87.29;RADIOGRAFIA COMPLETA DELLA COLONNA ;D11;34,60;34,60
403;87.35;GALATTOGRAFIA;D11;68,17;68,17
404;87.37.1;MAMMOGRAFIA  BILATERALE;D11;34,86;34,86
405;87.37.2;MAMMOGRAFIA MONOLATERALE;D11;22,98;22,98
406;87.37.3;PNEUMOCISTIGRAFIA MAMMARIA;D11;32,02;32,02
407;87.38;FISTOLOGRAFIA DELLA PARETE TORACICA;D11;54,23;54,23
408;87.41;TOMOGRAFIA COMPUTERIZZATA (TC) DEL TORACE;D12;86,25;77,67
409;87.41.1;TOMOGRAFIA COMPUTERIZZATA (TC) DEL TORACE, SENZA E CON CONTRASTO;D12;137,89;124,11
410;87.42.1;TOMOGRAFIA [STRATIGRAFIA] TORACICA BILATERALE;D11;49,06;49,06
411;87.42.2;TOMOGRAFIA [STRATIGRAFIA] TORACICA MONOLATERALE;D11;34,60;34,60
412;87.42.3;TOMOGRAFIA [STRATIGRAFIA] DEL MEDIASTINO;D11;40,03;40,03
413;87.43.1;RADIOGRAFIA DI COSTE, STERNO E CLAVICOLA;D11;24,27;24,27
414;87.43.2;ALTRA RADIOGRAFIA DI COSTE, STERNO E CLAVICOLA;D11;16,01;16,01
415;87.44.1;RADIOGRAFIA DEL TORACE DI ROUTINE, NAS;D11;15,49;15,49
416;87.44.2;TELECUORE CON ESOFAGO BARITATO;D11;31,50;31,50
417;87.49.1;RADIOGRAFIA DELLA  TRACHEA ;D11;14,98;14,98
418;87.52;COLANGIOGRAFIA INTRAVENOSA;D13;68,69;68,69
419;87.54.1;COLANGIOGRAFIA TRANS-KEHR;D13;44,42;44,42
420;87.59.1;COLECISTOGRAFIA;D13;50,10;50,10
421;87.61;RADIOGRAFIA COMPLETA DEL TUBO DIGERENTE ;D11;70,50;70,50
422;87.62;RADIOGRAFIA  DEL TRATTO GASTROINTESTINALE SUPERIORE;D11;50,10;50,10
423;87.62.1;RADIOGRAFIA DELL'ESOFAGO CON CONTRASTO ;D11;37,44;37,44
424;87.62.2;RADIOGRAFIA DELL'ESOFAGO CON DOPPIO CONTRASTO ;D11;47,26;47,26
425;87.62.3;RADIOGRAFIA  DELLO STOMACO E DEL DUODENO CON DOPPIO CONTRASTO;D11;59,39;59,39
426;87.63;STUDIO SERIATO DELL' INTESTINO TENUE;D11;45,45;45,45
427;87.64;RADIOGRAFIA  DEL TRATTO GASTROINTESTINALE INFERIORE;D11;29,95;29,95
428;87.65.1;CLISMA OPACO SEMPLICE;D11;51,65;51,65
429;87.65.2;CLISMA CON DOPPIO CONTRASTO;D11;91,67;91,67
430;87.65.3;CLISMA  DEL TENUE CON DOPPIO CONTRASTO;D11;140,99;140,99
431;87.66;RADIOGRAFIA DEL PANCREAS CON CONTRASTO;D11;59,65;59,65
432;87.69.1;ALTRE PROCEDURE DIAGNOSTICHE SULL' APPARATO DIGERENTE;D11;63,27;63,27
433;87.71;TOMOGRAFIA COMPUTERIZZATA (TC) DEI RENI;D12;95,03;85,50
434;87.71.1;TOMOGRAFIA COMPUTERIZZATA (TC) DEI RENI, SENZA E CON CONTRASTO;D12;149,26;134,37
435;87.72;TOMOGRAFIA [STRATIGRAFIA] RENALE;D12;30,99;27,90
436;87.73;UROGRAFIA ENDOVENOSA;D11;89,35;89,35
437;87.74.1;PIELOGRAFIA RETROGRADA MONOLATERALE;D11;68,69;68,69
438;87.74.2;PIELOGRAFIA RETROGRADA BILATERALE;D11;91,93;91,93
439;87.75.1;PIELOGRAFIA TRANSPIELOSTOMICA;D11;43,38;43,38
440;87.76;CISTOURETROGRAFIA RETROGRADA;D11;66,11;66,11
441;87.76.1;CISTOURETROGRAFIA MINZIONALE;D11;53,71;53,71
442;87.77;CISTOGRAFIA;D11;48,29;48,29
443;87.77.1;CISTOGRAFIA CON DOPPIO CONTRASTO;D11;68,69;68,69
444;87.79;RADIOGRAFIA DELL' APPARATO URINARIO;D11;19,37;19,37
445;87.79.1;URETROGRAFIA;D11;43,90;43,90
446;87.83;ISTEROSALPINGOGRAFIA;D11;108,46;108,46
447;87.89.1;COLPOGRAFIA;D11;55,78;55,78
448;87.99.1;CAVERNOSOGRAFIA SEMPLICE;D11;72,30;72,30
449;87.99.2;CAVERNOSOGRAFIA  DINAMICA;D11;73,85;73,85
450;88.01.1;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ADDOME SUPERIORE;D12;88,31;79,47
451;88.01.2;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ADDOME SUPERIORE, SENZA E CON CONTRASTO;D12;140,99;126,90
452;88.01.3;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ADDOME INFERIORE;D12;88,31;79,47
453;88.01.4;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ADDOME INFERIORE, SENZA E CON CONTRASTO;D12;140,99;126,90
454;88.01.5;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ADDOME COMPLETO;D12;115,17;103,68
455;88.01.6;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ADDOME COMPLETO, SENZA E CON CONTRASTO;D12;175,60;158,04
456;88.03.1;FISTOLOGRAFIA DELLA PARETE ADDOMINALE E/O DELL' ADDOME;D11;54,23;54,23
457;88.04;LINFOGRAFIA ADDOMINALE;D13;126,02;126,02
458;88.19;RADIOGRAFIA DELL' ADDOME;D11;19,37;19,37
459;88.21;RADIOGRAFIA DELLA SPALLA E DELL' ARTO SUPERIORE;D11;17,82;17,82
460;88.22;RADIOGRAFIA DEL GOMITO E DELL' AVAMBRACCIO;D11;14,98;14,98
461;88.23;RADIOGRAFIA DEL POLSO E DELLA MANO;D11;14,20;14,20
462;88.25;PELVIMETRIA;D11;17,56;17,56
463;88.26;RADIOGRAFIA DI PELVI  E ANCA;D11;17,56;17,56
464;88.27;RADIOGRAFIA DEL FEMORE, GINOCCHIO E GAMBA;D11;21,17;21,17
465;88.28;RADIOGRAFIA DEL PIEDE E DELLA CAVIGLIA;D11;17,82;17,82
466;88.29.1;RADIOGRAFIA COMPLETA DEGLI ARTI INFERIORI E DEL BACINO SOTTO CARICO;D11;30,21;30,21
467;88.29.2;RADIOGRAFIA  ASSIALE DELLA ROTULA;D11;26,34;26,34
468;88.31;RADIOGRAFIA DELLO SCHELETRO IN TOTO;D11;90,38;90,38
469;88.31.1;RADIOGRAFIA COMPLETA DEL LATTANTE;D11;22,47;22,47
470;88.32;ARTROGRAFIA CON CONTRASTO;D11;82,12;82,12
471;88.33.1;STUDIO DELL' ETA' OSSEA ;D11;12,14;12,14
472;88.33.2;TOMOGRAFIA [STRATIGRAFIA] DI SEGMENTO SCHELETRICO;D11;31,50;31,50
473;88.35.1;FISTOLOGRAFIA DELL' ARTO SUPERIORE;D11;54,23;54,23
474;88.37.1;FISTOLOGRAFIA DELL' ARTO INFERIORE;D11;54,23;54,23
475;88.38.1;TOMOGRAFIA COMPUTERIZZATA  (TC) DEL RACHIDE E DELLO SPECO VERTEBRALE;D12;86,25;77,67
476;88.38.2;TOMOGRAFIA COMPUTERIZZATA  (TC) DEL RACHIDE E DELLO SPECO VERTEBRALE, SENZA E CON CONTRASTO;D12;137,89;124,11
477;88.38.3;TOMOGRAFIA COMPUTERIZZATA  (TC) DELL' ARTO SUPERIORE;D12;90,90;81,81
478;88.38.4;TOMOGRAFIA COMPUTERIZZATA  (TC) DELL' ARTO SUPERIORE, SENZA E CON CONTRASTO;D12;144,09;129,69
479;88.38.5;TOMOGRAFIA COMPUTERIZZATA (TC) DEL BACINO;D12;86,51;77,85
480;88.38.6;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ARTO INFERIORE;D12;86,51;77,85
481;88.38.7;TOMOGRAFIA COMPUTERIZZATA (TC) DELL' ARTO INFERIORE, SENZA E CON CONTRASTO;D12;137,89;124,11
482;88.38.8;ARTRO TC;D12;150,81;135,72
483;88.39.1;LOCALIZZAZIONE RADIOLOGICA CORPO ESTRANEO;D11;15,49;15,49
484;88.42.1;AORTOGRAFIA;D13;283,28;283,28
485;88.42.2;AORTOGRAFIA ADDOMINALE;D13;283,28;283,28
486;88.48;ARTERIOGRAFIA DELL' ARTO INFERIORE;D13;283,28;283,28
487;88.60.1;FLEBOGRAFIA  SPINALE;D13;263,91;263,91
488;88.61.1;FLEBOGRAFIA ORBITARIA;D13;98,13;98,13
489;88.61.2;FLEBOGRAFIA GIUGULARE;D13;256,68;256,68
490;88.63.1;CAVOGRAFIA SUPERIORE;D13;256,68;256,68
491;88.63.2;FLEBOGRAFIA DELL' ARTO SUPERIORE;D13;246,35;246,35
492;88.65.1;CAVOGRAFIA INFERIORE;D13;246,35;246,35
493;88.65.2;FLEBOGRAFIA RENALE;D13;246,35;246,35
494;88.65.3;FLEBOGRAFIA ILIACA;D13;256,68;256,68
495;88.66.1;FLEBOGRAFIA  DEGLI ARTI INFERIORI;D13;246,35;246,35
496;88.66.2;FLEBOGRAFIA  DEGLI ARTI INFERIORI;D13;285,08;285,08
497;88.71.1;ECOENCEFALOGRAFIA;D21;31,25;31,25
498;88.71.2;STUDIO DOPPLER TRANSCRANICO;D29;45,96;45,96
499;88.71.3;COLOR DOPPLER TRANSCRANICO;D22;49,06;49,06
500;88.71.4;DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO;D21;28,41;28,41
501;88.72.1;ECOGRAFIA CARDIACA ;D21;51,65;51,65
502;88.72.2;ECODOPPLERGRAFIA CARDIACA;D22;60,43;60,43
503;88.72.3;ECOCOLORDOPPLERGRAFIA CARDIACA;D22;61,97;61,97
504;88.72.4;ECO(COLOR)DOPPLERGRAFIA CARDIACA TRANSESOFAGEA;D22;77,47;77,47
505;88.72.5;ECOCARDIOGRAMMA FETALE;D21;41,32;41,32
506;88.73.1;ECOGRAFIA DELLA MAMMELLA ;D21;35,89;35,89
507;88.73.2;ECOGRAFIA DELLA MAMMELLA ;D21;21,17;21,17
508;88.73.3;ECOGRAFIA  POLMONARE;D21;35,89;35,89
509;88.73.4;ECO(COLOR)DOPPLER DELLA MAMMELLA ;D22;30,73;30,73
510;88.73.5;ECO(COLOR)DOPPLER DEI TRONCHI SOVRAAORTICI ;D22;43,90;43,90
511;88.74.1;ECOGRAFIA DELL' ADDOME SUPERIORE;D21;43,90;43,90
512;88.74.2;ECO(COLOR)DOPPLER DEL FEGATO E DELLE VIE BILIARI;D22;43,38;43,38
513;88.74.3;ECO(COLOR)DOPPLER DEL  PANCREAS;D22;43,38;43,38
514;88.74.4;ECO(COLOR)DOPPLER DELLA MILZA;D22;43,38;43,38
515;88.74.5;ECO(COLOR)DOPPLER DEI RENI E DEI SURRENI;D22;34,09;34,09
516;88.75.1;ECOGRAFIA DELL' ADDOME INFERIORE ;D21;32,02;32,02
517;88.75.2;ECO(COLOR)DOPPLER DELL'ADDOME INFERIORE;D22;50,10;50,10
518;88.76.1;ECOGRAFIA ADDOME COMPLETO;D21;60,43;60,43
519;88.76.2;ECOGRAFIA DI GROSSI VASI ADDOMINALI;D21;32,02;32,02
520;88.77.1;ECOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE, ARTERIOSA ;D21;24,79;24,79
521;88.77.2;ECO(COLOR)DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE,;D22;43,90;43,90
522;88.77.3;(LASER)DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI;D29;23,24;23,24
523;88.78;ECOGRAFIA OSTETRICA;D21;30,99;30,99
524;88.78.1;ECOGRAFIA OVARICA;D21;22,98;22,98
525;88.78.2;ECOGRAFIA GINECOLOGICA;D21;30,99;30,99
526;88.79.1;ECOGRAFIA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;D21;28,41;28,41
527;88.79.2;ECOGRAFIA OSTEOARTICOLARE;D21;32,54;32,54
528;88.79.3;ECOGRAFIA MUSCOLOTENDINEA;D21;28,41;28,41
529;88.79.4;ECOGRAFIA TRANSESOFAGEA DEL TORACE;D21;50,61;50,61
530;88.79.5;ECOGRAFIA DEL PENE;D21;30,99;30,99
531;88.79.6;ECOGRAFIA DEI TESTICOLI;D21;30,99;30,99
532;88.79.7;ECOGRAFIA TRANSVAGINALE;D21;43,38;43,38
533;88.79.8;ECOGRAFIA TRANSRETTALE ;D21;43,38;43,38
534;88.83.1;TELETERMOGRAFIA OSTEOARTICOLARE;D29;25,31;25,31
535;88.85;TELETERMOGRAFIA DELLA MAMMELLA;D29;25,31;25,31
536;88.89;TELETERMOGRAFIA PARTI MOLLI;D29;25,31;25,31
537;88.90.1;EVENTUALE TOMOGRAFIA [STRATIGRAFIA] CONTEMPORANEA AD ESAME  DI:;D11;14,98;14,98
538;88.90.2;RICOSTRUZIONE TRIDIMENSIONALE TC;D12;20,14;18,09
539;88.90.3;TOMOGRAFIA COMPUTERIZZATA (TC) DEL RACHIDE E DELLO SPECO VERTEBRALE;D12;29,44;26,46
540;88.91.1;RISONANZA MAGNETICA NUCLEARE (RM) DEL CERVELLO E DEL TRONCO ENCEFALICO;D25;222,08;166,58
541;88.91.2;RISONANZA MAGNETICA NUCLEARE (RM) DEL CERVELLO E DEL TRONCO ENCEFALICO, SENZA E CON CONTRASTO;D25;330,02;247,50
542;88.91.3;RISONANZA MAGNETICA NUCLEARE (RM) DEL MASSICCIO FACCIALE;D25;160,10;120,08
543;88.91.4;RISONANZA MAGNETICA NUCLEARE (RM) DEL MASSICCIO FACCIALE, SENZA E CON CONTRASTO;D25;249,45;187,13
544;88.91.5;ANGIO- RM DEL DISTRETTO VASCOLARE INTRACRANICO;D25;246,35;184,80
545;88.91.6;RISONANZA MAGNETICA NUCLEARE (RM) DEL COLLO;D25;160,10;120,08
546;88.91.7;RISONANZA MAGNETICA NUCLEARE (RM) DEL COLLO, SENZA E CON CONTRASTO;D25;249,45;187,13
547;88.91.8;ANGIO- RM DEI VASI DEL COLLO;D25;246,35;184,80
548;88.92;RISONANZA MAGNETICA NUCLEARE (RM) DEL TORACE ;D25;154,42;115,80
549;88.92.1;RISONANZA MAGNETICA NUCLEARE (RM) DEL TORACE, SENZA E CON CONTRASTO;D25;241,70;181,28
550;88.92.2;ANGIO- RM DEL  DISTRETTO TORACICO;D25;246,35;184,80
551;88.92.3;RISONANZA MAGNETICA NUCLEARE (RM) DEL CUORE ;D25;160,10;120,08
552;88.92.4;RISONANZA MAGNETICA NUCLEARE (RM) DEL CUORE, SENZA E CON CONTRASTO ;D25;249,45;187,13
553;88.92.5;RISONANZA MAGNETICA NUCLEARE (CINE-RM) DEL CUORE ;D25;310,39;232,80
554;88.92.6;RISONANZA MAGNETICA NUCLEARE (RM) DELLA MAMMELLA;D25;148,22;111,15
555;88.92.7;RISONANZA MAGNETICA NUCLEARE (RM) DELLA MAMMELLA, SENZA E CON CONTRASTO;D25;233,95;175,50
556;88.92.8;RISONANZA MAGNETICA NUCLEARE (RM) DELLA MAMMELLA;D25;160,10;120,08
557;88.92.9;RISONANZA MAGNETICA NUCLEARE (RM) DELLA MAMMELLA, SENZA E CON CONTRASTO;D25;249,45;187,13
558;88.93;RISONANZA MAGNETICA NUCLEARE (RM) DELLA COLONNA;D25;154,42;115,80
559;88.93.1;RISONANZA MAGNETICA NUCLEARE (RM) DELLA COLONNA, SENZA E CON CONTRASTO;D25;241,70;181,28
560;88.94.1;RISONANZA MAGNETICA NUCLEARE (RM) MUSCOLOSCHELETRICA;D25;177,66;133,28
561;88.94.2;RISONANZA MAGNETICA NUCLEARE (RM) MUSCOLOSCHELETRICA, SENZA E CON CONTRASTO;D25;272,17;204,15
562;88.94.3;ANGIO-RM DELL' ARTO SUPERIORE O INFERIORE;D25;246,35;184,80
563;88.95.1;RISONANZA MAGNETICA NUCLEARE (RM) DELL'ADDOME SUPERIORE;D25;160,10;120,08
564;88.95.2;RISONANZA MAGNETICA NUCLEARE (RM) DELL'ADDOME SUPERIORE, SENZA E CON CONTRASTO;D25;249,45;187,13
565;88.95.3;ANGIO RM DELL'ADDOME SUPERIORE;D25;246,35;184,80
566;88.95.4;RISONANZA MAGNETICA NUCLEARE (RM) DELL'ADDOME INFERIORE E SCAVO PELVICO;D25;160,10;120,08
567;88.95.5;RISONANZA MAGNETICA NUCLEARE (RM) DELL'ADDOME INFERIORE E SCAVO PELVICO, SENZA E CON CONTRASTO;D25;249,45;187,13
568;88.95.6;ANGIO RM DELL'ADDOME INFERIORE;D25;246,35;184,80
569;88.99.1;DENSITOMETRIA OSSEA CON TECNICA DI ASSORBIMENTO A FOTONE SINGOLO O DOPPIO;D11;21,17;21,17
570;88.99.2;DENSITOMETRIA OSSEA CON TECNICA DI ASSORBIMENTO A  RAGGI X;D11;31,50;31,50
